Vessel Name,ETA,Discharged Terminal Name,Container Number,Customs Clearance Status,Container Discharge Date Time,Container Inspection Status,Container Stay In Terminal Charge Up To Date,Container Gate Out Date Time,Storage Charges Amount (AED)
EVER GIVEN,2026-08-27 21:45,CMA,PILU3567281,cleared,2026-08-29 03:45,Released,2026-09-07,2026-09-03 06:45,0
ONE COLUMBA,2026-08-30 23:30,CSP,ONEY4137722,pending,2026-09-01 00:30,OnHold,2026-09-09,,2910
X-PRESS PEARL,2026-09-04 22:00,CSP,WHLU3679591,pending,,,,,0
WAN HAI 307,2026-08-12 02:15,ADT,MAEU1839607,cleared,2026-08-13 05:15,OnHold,2026-08-22,,10530
CMA CGM MARCO POLO,2026-08-21 22:30,CSP,SEAU9997348,cleared,2026-08-22 17:30,Released,2026-09-01,,6750
COSCO SHIPPING ARIES,2026-08-31 14:30,CMA,COSU9008867,pending,2026-08-31 19:30,OnHold,2026-09-06,,3900
ZIM VIRGINIA,2026-08-31 11:00,ADT,ZIMU8398441,cleared,2026-09-01 16:00,OnHold,2026-09-10,,2570
MAERSK SEMBAWANG,2026-08-18 11:00,CMA,OOLU2564217,cleared,2026-08-19 08:00,Released,2026-08-25,2026-08-24 19:00,0
MSC GAYANE,2026-08-14 07:15,ADT,WHLU5159230,cleared,2026-08-15 13:15,Released,2026-08-23,2026-08-16 15:15,0
CMA CGM MARCO POLO,2026-08-31 23:15,CMA,FCIU1161193,pending,2026-09-01 05:15,Released,2026-09-10,,2660
SEALAND MICHIGAN,2026-08-26 19:15,ADT,ZIMU8852897,cleared,2026-08-27 14:15,Released,2026-09-06,,4130
EVER GIVEN,2026-08-29 02:30,CMA,HMMU6693979,cleared,2026-08-29 18:30,Released,2026-09-06,2026-09-03 19:30,0
COSCO SHIPPING UNIVERSE,2026-08-17 06:15,ADT,APLU1074176,pending,2026-08-18 02:15,Released,2026-08-23,,9240
ONE STORK,2026-08-09 07:30,CMA,MAEU3841005,pending,2026-08-09 11:30,Released,2026-08-17,,12270
COSCO SHIPPING ARIES,2026-08-12 05:45,CSP,OOLU9046844,cleared,2026-08-12 14:45,Released,2026-08-22,2026-08-17 21:45,0
SAFEEN PRIDE,2026-08-11 03:45,CSP,OOLU1582524,cleared,2026-08-11 16:45,Released,2026-08-18,2026-08-16 07:45,0
ZIM VIRGINIA,2026-08-08 18:30,CMA,MAEU1651177,cleared,2026-08-09 21:30,Released,2026-08-19,2026-08-11 06:30,0
OOCL HONG KONG,2026-08-21 10:45,ADT,OOLU8997381,cleared,2026-08-21 17:45,Released,2026-08-27,2026-08-26 21:45,0
OOCL HONG KONG,2026-08-10 07:00,ADT,CSNU9232926,cleared,2026-08-10 11:00,OnHold,2026-08-20,,12410
HAPAG LLOYD BERLIN,2026-08-13 18:00,CSP,FCIU8075854,cleared,2026-08-14 01:00,OnHold,2026-08-21,,10040
CMA CGM ANTOINE DE SAINT EXUPERY,2026-08-21 04:45,CSP,CSNU4785687,cleared,2026-08-21 10:45,OnHold,2026-08-26,,8540
MAERSK GIBRALTAR,2026-08-08 07:45,CMA,MAEU5261415,cleared,2026-08-09 01:45,OnHold,2026-08-19,,12130
MAERSK GIBRALTAR,2026-08-10 01:00,CMA,CMAU3117625,cleared,2026-08-11 00:00,Released,2026-08-21,2026-08-13 18:00,0
CMA CGM ANTOINE DE SAINT EXUPERY,2026-08-26 07:00,ADT,APLU9712650,cleared,2026-08-26 22:00,Released,2026-09-04,2026-09-02 09:00,0
X-PRESS PEARL,2026-08-14 03:30,CMA,PILU4374922,cleared,2026-08-14 12:30,Released,2026-08-20,2026-08-18 23:30,0
ONE COLUMBA,2026-08-17 08:00,CMA,HMMU7670955,cleared,2026-08-18 00:00,Released,2026-08-26,2026-08-24 06:00,0
COSCO SHIPPING UNIVERSE,2026-08-15 10:30,ADT,OOLU8487336,pending,2026-08-16 16:30,OnHold,2026-08-20,,12480
MAERSK ESSEX,2026-08-25 04:30,CSP,HLXU7351517,pending,2026-08-26 01:30,OnHold,2026-09-05,,4540
MSC GAYANE,2026-08-11 14:00,CMA,HMMU1737893,pending,2026-08-12 20:00,OnHold,2026-08-16,,14050
ONE COLUMBA,2026-08-29 16:15,CSP,HMMU3533779,pending,2026-08-30 15:15,Released,2026-09-08,,3450
PIL EXPRESS,2026-08-10 02:45,CSP,ZIMU0852264,cleared,2026-08-11 06:45,Released,2026-08-17,2026-08-11 23:45,0
MSC GAYANE,2026-08-13 05:45,CSP,ONEY4394880,pending,2026-08-14 00:45,Released,2026-08-23,,10100
MSC GAYANE,2026-08-24 07:30,ADT,CMAU2500715,pending,2026-08-25 03:30,OnHold,2026-09-02,,5350
ONE COLUMBA,2026-08-08 17:15,ADT,HMMU6117837,cleared,2026-08-09 16:15,Released,2026-08-14,2026-08-17 00:15,410
BAL EAGLE,2026-08-14 11:15,CMA,TCLU2592974,cleared,2026-08-15 17:15,Released,2026-08-22,2026-08-16 05:15,0
HAPAG LLOYD BERLIN,2026-08-29 05:15,CMA,PILU6907400,cleared,2026-08-29 15:15,Released,2026-09-03,,5600
COSCO SHIPPING UNIVERSE,2026-08-14 12:45,CSP,MAEU7896868,cleared,2026-08-15 01:45,Released,2026-08-21,2026-08-24 01:45,480
OOCL HONG KONG,2026-09-08 16:00,ADT,MSCU3240180,pending,,,,,0
YM WORLD,2026-08-27 22:45,ADT,ZIMU5891254,pending,2026-08-28 21:45,Released,2026-09-07,,3530
